animal ID,Sex,Treatment,DOB,DOD,Days lived,Status,Comments,,,,,
SOD10052.01,MALE,SOD1_veh_BID,11/19/2019,4/1/2020,134,1,,,,,,
SOD10053.01,MALE,SOD1_veh_BID,11/19/2019,4/2/2020,135,1,,,,,,
SOD10054.01,MALE,SOD1_veh_BID,11/19/2019,3/24/2020,126,1,,,,,,
SOD10003.01,MALE,SOD1_SID_350mg/kg,10/22/2019,3/4/2020,134,1,,,,,,
SOD10003.02,MALE,SOD1_SID_350mg/kg,10/22/2019,3/3/2020,133,1,,,,,,
SOD10003.04,MALE,SOD1_SID_350mg/kg,10/22/2019,3/1/2020,131,1,,,,,,
SOD10004.01,MALE,SOD1_SID_350mg/kg,10/22/2019,3/1/2020,131,1,,,,,,
SOD10004.02,MALE,SOD1_SID_350mg/kg,10/22/2019,3/4/2020,134,1,,,,,,
SOD10004.03,MALE,SOD1_SID_350mg/kg,10/22/2019,2/20/2020,121,1,,,,,,
SOD10004.04,MALE,SOD1_SID_350mg/kg,10/22/2019,3/7/2020,137,1,,,,,,
SOD10017.01,MALE,SOD1_SID_350mg/kg,11/19/2019,3/16/2020,118,1,,,,,,
SOD10018.01,MALE,SOD1_SID_350mg/kg,11/19/2019,3/24/2020,126,1,,,,,,
SOD10019.01,MALE,SOD1_SID_350mg/kg,11/19/2019,3/13/2020,115,1,,,,,,
SOD10020.01,MALE,SOD1_SID_350mg/kg,11/19/2019,3/16/2020,118,1,,,,,,
SOD10021.01,MALE,SOD1_SID_350mg/kg,11/19/2019,3/29/2020,131,1,,,,,,
SOD10022.01,MALE,SOD1_SID_350mg/kg,11/19/2019,3/28/2020,130,1,,,,,,
SOD10023.01,MALE,SOD1_SID_350mg/kg,11/19/2019,3/10/2020,112,1,,,,,,
SOD10035.01,MALE,SOD1_SID_350mg/kg,11/19/2019,3/31/2020,133,1,,,,,,
SOD10036.01,MALE,SOD1_SID_350mg/kg,11/19/2019,3/13/2020,115,1,,,,,,
SOD10037.01,MALE,SOD1_SID_350mg/kg,11/19/2019,3/23/2020,125,1,,,,,,
SOD10009.02,FEMALE,SOD1_SID_200mg/kg,10/22/2019,3/15/2020,145,1,,,,,,
SOD10009.03,FEMALE,SOD1_SID_200mg/kg,10/22/2019,2/17/2020,118,1,,,,,,
SOD10010.01,FEMALE,SOD1_SID_200mg/kg,10/22/2019,3/16/2020,146,1,,,,,,
SOD10010.02,FEMALE,SOD1_SID_200mg/kg,10/22/2019,3/29/2020,159,1,,,,,,
SOD10010.03,FEMALE,SOD1_SID_200mg/kg,10/22/2019,2/20/2020,121,1,,,,,,
SOD10010.04,FEMALE,SOD1_SID_200mg/kg,10/22/2019,3/4/2020,134,1,,,,,,
SOD10024.01,FEMALE,SOD1_SID_200mg/kg,11/19/2019,3/28/2020,130,1,,,,,,
SOD10025.01,FEMALE,SOD1_SID_200mg/kg,11/19/2019,3/20/2020,122,1,,,,,,
SOD10026.01,FEMALE,SOD1_SID_200mg/kg,11/19/2019,3/26/2020,128,1,,,,,,
SOD10027.01,FEMALE,SOD1_SID_200mg/kg,11/19/2019,3/25/2020,127,1,,,,,,
SOD10028.01,FEMALE,SOD1_SID_200mg/kg,11/19/2019,4/6/2020,139,1,,,,,,
SOD10029.01,FEMALE,SOD1_SID_200mg/kg,11/19/2019,4/1/2020,134,1,,,,,,
SOD10030.01,FEMALE,SOD1_SID_200mg/kg,11/19/2019,4/2/2020,135,1,,,,,,
SOD10055.01,FEMALE,SOD1_SID_200mg/kg,11/19/2019,3/23/2020,125,1,,,,,,
SOD10056.01,FEMALE,SOD1_SID_200mg/kg,11/19/2019,4/1/2020,134,1,,,,,,
SOD10001.01,MALE,SOD1_BID_350mg/kg,10/22/2019,2/22/2020,123,1,,,,,,
SOD10001.02,MALE,SOD1_BID_350mg/kg,10/22/2019,3/4/2020,134,1,,,,,,
SOD10001.03,MALE,SOD1_BID_350mg/kg,10/22/2019,3/4/2020,134,1,,,,,,
SOD10001.04,MALE,SOD1_BID_350mg/kg,10/22/2019,3/9/2020,139,1,,,,,,
SOD10002.02,MALE,SOD1_BID_350mg/kg,10/22/2019,3/7/2020,137,1,,,,,,
SOD10002.03,MALE,SOD1_BID_350mg/kg,10/22/2019,2/22/2020,123,1,,,,,,
SOD10002.04,MALE,SOD1_BID_350mg/kg,10/22/2019,2/25/2020,126,1,,,,,,
SOD10038.01,MALE,SOD1_BID_350mg/kg,11/19/2019,3/23/2020,125,1,,,,,,
SOD10039.01,MALE,SOD1_BID_350mg/kg,11/19/2019,3/29/2020,131,1,,,,,,
SOD10040.01,MALE,SOD1_BID_350mg/kg,11/19/2019,3/21/2020,123,1,,,,,,
SOD10041.01,MALE,SOD1_BID_350mg/kg,11/19/2019,3/14/2020,116,1,,,,,,
SOD10042.01,MALE,SOD1_BID_350mg/kg,11/19/2019,3/25/2020,127,1,,,,,,
SOD10043.01,MALE,SOD1_BID_350mg/kg,11/19/2019,2/22/2020,95,1,,,,,,
SOD10044.01,MALE,SOD1_BID_350mg/kg,11/19/2019,3/17/2020,119,1,,,,,,
SOD10045.01,MALE,SOD1_BID_350mg/kg,11/19/2019,3/28/2020,130,1,,,,,,
SOD10046.01,MALE,SOD1_BID_350mg/kg,11/19/2019,3/20/2020,122,1,,,,,,
SOD10007.01,FEMALE,SOD1_BID_200mg/kg,10/22/2019,2/29/2020,130,1,,,,,,
SOD10007.02,FEMALE,SOD1_BID_200mg/kg,10/22/2019,2/20/2020,121,1,,,,,,
SOD10007.03,FEMALE,SOD1_BID_200mg/kg,10/22/2019,2/22/2020,123,1,,,,,,
SOD10007.04,FEMALE,SOD1_BID_200mg/kg,10/22/2019,3/2/2020,132,1,,,,,,
SOD10008.01,FEMALE,SOD1_BID_200mg/kg,10/22/2019,3/1/2020,131,1,,,,,,
SOD10008.02,FEMALE,SOD1_BID_200mg/kg,10/22/2019,3/2/2020,132,1,,,,,,
SOD10008.03,FEMALE,SOD1_BID_200mg/kg,10/22/2019,3/13/2020,143,1,,,,,,
SOD10008.04,FEMALE,SOD1_BID_200mg/kg,10/22/2019,2/21/2020,122,1,,,,,,
SOD10057.01,FEMALE,SOD1_BID_200mg/kg,11/19/2019,3/20/2020,122,1,,,,,,
SOD10058.01,FEMALE,SOD1_BID_200mg/kg,11/19/2019,4/5/2020,138,1,,,,,,
SOD10059.01,FEMALE,SOD1_BID_200mg/kg,11/19/2019,4/14/2020,147,1,,,,,,
SOD10060.01,FEMALE,SOD1_BID_200mg/kg,11/19/2019,4/17/2020,150,1,,,,,,
SOD10061.01,FEMALE,SOD1_BID_200mg/kg,11/19/2019,4/10/2020,143,1,,,,,,
SOD10062.01,FEMALE,SOD1_BID_200mg/kg,11/19/2019,3/26/2020,128,1,,,,,,
SOD10063.01,FEMALE,SOD1_BID_200mg/kg,11/19/2019,3/28/2020,130,1,,,,,,
SOD10064.01,FEMALE,SOD1_BID_200mg/kg,11/19/2019,4/1/2020,134,1,,,,,,
,,,,,,,,,,,,
